Input,Output,ObservedProb,ExpectedProb
mis-ti,miti,0.0,0.009375581406206368
pes-a,pesa,0.0,0.7321228270466255
pes-a,pela,0.0,0.19796332449953047
pes-a,pea,1.0,0.06991384845384399
pes-ta,petta,1.0,0.9640771564227817
pes-ta,pelta,0.0,0.026547262171011957
pes-ta,peta,0.0,0.009375581406206368
pes-e,pese,0.0,0.7321228270466255
pes-e,pele,0.0,0.19796332449953047
pes-e,pee,1.0,0.06991384845384399
pes-te,pette,1.0,0.9640771564227817
pes-te,pelte,0.0,0.026547262171011957
pes-te,pete,0.0,0.009375581406206368
pes-tu,pettu,1.0,0.9640771564227817
pes-tu,peltu,0.0,0.026547262171011957
pes-tu,petu,0.0,0.009375581406206368
pes-u,pesu,0.0,0.7321228270466255
pes-u,pelu,0.0,0.19796332449953047
pes-u,peu,1.0,0.06991384845384399
pes-o,peso,0.0,0.7321228270466255
pes-o,pelo,0.0,0.19796332449953047
pes-o,peo,1.0,0.06991384845384399
pes-to,petto,1.0,0.9640771564227817
pes-to,pelto,0.0,0.026547262171011957
pes-to,peto,0.0,0.009375581406206368
pes-i,pesi,0.0,0.7321228270466255
pes-i,peli,0.0,0.19796332449953047
pes-i,pei,1.0,0.06991384845384399
pes-ti,petti,1.0,0.9640771564227817
pes-ti,pelti,0.0,0.026547262171011957
pes-ti,peti,0.0,0.009375581406206368
ses-a,sesa,0.0,0.7321228270466255
ses-a,sela,0.0,0.19796332449953047
ses-a,sea,1.0,0.06991384845384399
ses-ta,setta,1.0,0.9640771564227817
ses-ta,selta,0.0,0.026547262171011957
ses-ta,seta,0.0,0.009375581406206368
ses-e,sese,0.0,0.7321228270466255
ses-e,sele,0.0,0.19796332449953047
ses-e,see,1.0,0.06991384845384399
ses-te,sette,1.0,0.9640771564227817
ses-te,selte,0.0,0.026547262171011957
ses-te,sete,0.0,0.009375581406206368
ses-tu,settu,1.0,0.9640771564227817
ses-tu,seltu,0.0,0.026547262171011957
ses-tu,setu,0.0,0.009375581406206368
ses-u,sesu,0.0,0.7321228270466255
ses-u,selu,0.0,0.19796332449953047
ses-u,seu,1.0,0.06991384845384399
ses-o,seso,0.0,0.7321228270466255
ses-o,selo,0.0,0.19796332449953047
ses-o,seo,1.0,0.06991384845384399
ses-to,setto,1.0,0.9640771564227817
ses-to,selto,0.0,0.026547262171011957
ses-to,seto,0.0,0.009375581406206368
ses-i,sesi,0.0,0.7321228270466255
ses-i,seli,0.0,0.19796332449953047
ses-i,sei,1.0,0.06991384845384399
ses-ti,setti,1.0,0.9640771564227817
ses-ti,selti,0.0,0.026547262171011957
ses-ti,seti,0.0,0.009375581406206368
nes-a,nesa,0.0,0.7321228270466255
nes-a,nela,0.0,0.19796332449953047
nes-a,nea,1.0,0.06991384845384399
nes-ta,netta,1.0,0.9640771564227817
nes-ta,nelta,0.0,0.026547262171011957
nes-ta,neta,0.0,0.009375581406206368
nes-e,nese,0.0,0.7321228270466255
nes-e,nele,0.0,0.19796332449953047
nes-e,nee,1.0,0.06991384845384399
nes-te,nette,1.0,0.9640771564227817
nes-te,nelte,0.0,0.026547262171011957
nes-te,nete,0.0,0.009375581406206368
nes-tu,nettu,1.0,0.9640771564227817
nes-tu,neltu,0.0,0.026547262171011957
nes-tu,netu,0.0,0.009375581406206368
nes-u,nesu,0.0,0.7321228270466255
nes-u,nelu,0.0,0.19796332449953047
nes-u,neu,1.0,0.06991384845384399
nes-o,neso,0.0,0.7321228270466255
nes-o,nelo,0.0,0.19796332449953047
nes-o,neo,1.0,0.06991384845384399
nes-to,netto,1.0,0.9640771564227817
nes-to,nelto,0.0,0.026547262171011957
nes-to,neto,0.0,0.009375581406206368
nes-i,nesi,0.0,0.7321228270466255
nes-i,neli,0.0,0.19796332449953047
nes-i,nei,1.0,0.06991384845384399
nes-ti,netti,1.0,0.9640771564227817
nes-ti,nelti,0.0,0.026547262171011957
nes-ti,neti,0.0,0.009375581406206368
nus-a,nusa,0.0,0.7321228270466255
nus-a,nula,0.0,0.19796332449953047
nus-a,nua,1.0,0.06991384845384399
nus-ta,nutta,1.0,0.9640771564227817
nus-ta,nulta,0.0,0.026547262171011957
nus-ta,nuta,0.0,0.009375581406206368
nus-e,nuse,0.0,0.7321228270466255
nus-e,nule,0.0,0.19796332449953047
nus-e,nue,1.0,0.06991384845384399
nus-te,nutte,1.0,0.9640771564227817
nus-te,nulte,0.0,0.026547262171011957
nus-te,nute,0.0,0.009375581406206368
nus-tu,nuttu,1.0,0.9640771564227817
nus-tu,nultu,0.0,0.026547262171011957
nus-tu,nutu,0.0,0.009375581406206368
nus-u,nusu,0.0,0.7321228270466255
nus-u,nulu,0.0,0.19796332449953047
nus-u,nuu,1.0,0.06991384845384399
nus-o,nuso,0.0,0.7321228270466255
nus-o,nulo,0.0,0.19796332449953047
nus-o,nuo,1.0,0.06991384845384399
nus-to,nutto,1.0,0.9640771564227817
nus-to,nulto,0.0,0.026547262171011957
nus-to,nuto,0.0,0.009375581406206368
nus-i,nusi,0.0,0.7321228270466255
nus-i,nuli,0.0,0.19796332449953047
nus-i,nui,1.0,0.06991384845384399
nus-ti,nutti,1.0,0.9640771564227817
nus-ti,nulti,0.0,0.026547262171011957
nus-ti,nuti,0.0,0.009375581406206368
